Weight gain,diet amount,diet type
118,1,Type1
117,1,Type1
111,1,Type1
107,1,Type1
104,1,Type1
102,1,Type1
100,1,Type1
87,1,Type1
81,1,Type1
73,1,Type1
120,1,Type2
108,1,Type2
105,1,Type2
102,1,Type2
102,1,Type2
98,1,Type2
96,1,Type2
94,1,Type2
91,1,Type2
79,1,Type2
111,1,Type3
98,1,Type3
95,1,Type3
92,1,Type3
88,1,Type3
86,1,Type3
82,1,Type3
77,1,Type3
74,1,Type3
56,1,Type3
95,2,Type1
90,2,Type1
90,2,Type1
90,2,Type1
86,2,Type1
78,2,Type1
76,2,Type1
72,2,Type1
64,2,Type1
51,2,Type1
106,2,Type2
97,2,Type2
86,2,Type2
82,2,Type2
82,2,Type2
81,2,Type2
73,2,Type2
70,2,Type2
61,2,Type2
49,2,Type2
107,2,Type3
98,2,Type3
97,2,Type3
95,2,Type3
89,2,Type3
80,2,Type3
74,2,Type3
74,2,Type3
67,2,Type3
58,2,Type3
